               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12885,             0.11092,            0.029758,                   0,                   0,                   0,                   0,             0.12152,            0.086891,            0.028002,              0.0006,              0.0006,              0.0946
                   1,              0.1237,             0.10585,            0.028475,                   0,                   0,                   0,                   0,             0.11759,            0.081094,            0.026298,           0.0012957,           0.0012957,            0.088296
                   2,             0.11963,             0.10235,            0.025774,                   0,                   0,                   0,                   0,             0.11416,            0.077369,            0.024816,           0.0019868,           0.0019868,            0.081987
                   3,             0.11504,            0.084882,            0.024369,            0.018452,            0.016729,           0.0049419,           0.0009231,             0.11013,            0.075882,            0.023469,           0.0026733,           0.0026733,            0.075673
                   4,             0.11309,             0.11629,            0.020926,              0.0237,            0.021375,           0.0057683,           0.0014239,              0.1055,            0.072352,            0.020858,           0.0033551,           0.0033551,            0.069355
                   5,             0.10738,            0.086582,            0.018969,             0.57638,            0.020446,           0.0083086,           0.0015298,             0.10388,            0.071917,            0.019232,           0.0040324,           0.0040324,            0.063032
                   6,             0.10551,             0.11658,            0.015029,             0.59623,             0.02881,            0.014512,           0.0030266,            0.097995,            0.073989,            0.018036,            0.004705,            0.004705,            0.056705
                   7,             0.10139,            0.095883,             0.01548,            0.032564,             0.02273,           0.0056616,          0.00098265,             0.10018,            0.075253,            0.017078,           0.0053729,           0.0053729,            0.050373
                   8,             0.10918,            0.076127,             0.01457,             0.56044,            0.023234,            0.013284,           0.0020656,            0.096602,            0.072519,            0.013556,           0.0060363,           0.0060363,            0.044036
                   9,             0.10698,            0.087828,            0.010756,             0.56464,            0.035316,            0.014911,           0.0030962,            0.093297,            0.079522,            0.012025,           0.0066951,           0.0066951,            0.037695
                  10,             0.10719,            0.086802,            0.010425,             0.59821,            0.036245,            0.029333,           0.0063251,            0.098778,            0.076666,            0.010462,           0.0073492,           0.0073492,            0.031349
                  11,             0.10738,             0.10795,           0.0099446,             0.12917,            0.044792,            0.029251,           0.0070842,            0.094486,            0.079171,           0.0075424,           0.0079987,           0.0079987,            0.024999
                  12,             0.10568,            0.084286,           0.0079238,            0.030356,            0.031599,            0.012909,           0.0040455,             0.11108,            0.091914,           0.0069355,           0.0086436,           0.0086436,            0.018644
                  13,             0.10812,            0.097579,           0.0068279,            0.026493,            0.025336,           0.0096055,           0.0021975,            0.097879,             0.12595,           0.0061583,           0.0092839,           0.0092839,            0.012284
                  14,             0.10216,             0.11134,            0.010516,            0.046694,            0.030165,            0.020648,           0.0047406,             0.10274,             0.11067,           0.0059304,            0.009538,            0.009538,            0.009538
                  15,             0.10095,             0.10362,           0.0074289,            0.093711,            0.048631,             0.04004,           0.0093288,            0.090263,            0.088041,           0.0054026,            0.009538,            0.009538,            0.009538
                  16,            0.097272,             0.12119,           0.0082677,             0.10478,            0.053239,            0.033642,           0.0066958,             0.09339,            0.085205,           0.0041508,            0.009505,            0.009505,            0.009505
                  17,            0.093422,             0.10442,           0.0074368,            0.074359,            0.041439,            0.017214,           0.0032662,              0.0907,              0.1296,            0.004277,            0.009472,            0.009472,            0.009472
                  18,            0.093141,             0.10006,           0.0061154,             0.07566,            0.035923,            0.019168,           0.0043898,            0.095003,             0.15061,           0.0053063,            0.009439,            0.009439,            0.009439
                  19,            0.088469,               0.122,           0.0063406,            0.084391,            0.063118,            0.037477,           0.0085015,            0.082481,             0.12306,           0.0031126,            0.009406,            0.009406,            0.009406
                  20,            0.086909,             0.10179,           0.0051929,            0.057883,            0.036367,            0.024113,           0.0056273,             0.10076,             0.13344,           0.0025058,            0.009373,            0.009373,            0.009373
                  21,            0.088846,             0.10117,           0.0051056,            0.072188,            0.033822,            0.037531,            0.011392,            0.086685,             0.16181,           0.0021265,             0.00934,             0.00934,             0.00934
                  22,            0.085183,             0.10697,           0.0038023,             0.19118,            0.021436,            0.037253,            0.010081,            0.099524,             0.14579,           0.0020718,            0.009307,            0.009307,            0.009307
                  23,            0.086974,            0.083528,            0.005488,             0.22682,            0.065116,            0.065547,            0.018552,            0.079647,            0.098682,           0.0017307,            0.009274,            0.009274,            0.009274
                  24,            0.081741,            0.090894,           0.0037303,            0.091205,            0.080757,            0.031065,           0.0059323,            0.079189,             0.10904,           0.0019629,            0.009241,            0.009241,            0.009241
                  25,             0.08456,            0.090727,           0.0037834,              0.2372,             0.07427,            0.053661,            0.013127,            0.078164,            0.080888,            0.001906,            0.009208,            0.009208,            0.009208
                  26,            0.077399,             0.10132,           0.0039147,             0.30446,             0.13975,             0.10831,            0.028152,            0.078308,            0.084129,           0.0017223,            0.009175,            0.009175,            0.009175
                  27,            0.081653,            0.098647,           0.0033073,             0.24467,             0.16476,             0.10573,            0.023061,            0.073868,            0.084706,           0.0015244,            0.009142,            0.009142,            0.009142
                  28,            0.086309,             0.08525,           0.0029959,             0.13865,            0.073784,            0.036262,           0.0091541,            0.092885,            0.081736,           0.0016056,            0.009109,            0.009109,            0.009109
                  29,            0.082768,            0.091388,           0.0035257,             0.17693,              0.1738,            0.098969,            0.025142,             0.07408,            0.079303,           0.0013966,            0.009076,            0.009076,            0.009076
                  30,            0.087074,            0.089302,           0.0031087,             0.37542,             0.16422,             0.11652,            0.027973,            0.071426,            0.074806,           0.0014436,            0.009043,            0.009043,            0.009043
                  31,            0.074855,             0.11231,           0.0030057,             0.27531,             0.17814,             0.11309,            0.029976,            0.070673,            0.082779,           0.0012536,             0.00901,             0.00901,             0.00901
                  32,            0.073897,            0.089801,           0.0029516,             0.31652,             0.23733,             0.16553,            0.043362,            0.071914,            0.069815,           0.0010379,            0.008977,            0.008977,            0.008977
                  33,            0.073357,             0.11025,           0.0025423,             0.31866,             0.34527,             0.20853,            0.050132,             0.06914,            0.073447,           0.0012073,            0.008944,            0.008944,            0.008944
                  34,            0.075131,            0.095741,           0.0026073,              0.3372,             0.20396,             0.12815,            0.032384,            0.071233,            0.068015,           0.0013892,            0.008911,            0.008911,            0.008911
                  35,            0.071692,            0.089483,           0.0025626,             0.53443,             0.39188,             0.36541,            0.099632,            0.070464,            0.067948,            0.001718,            0.008878,            0.008878,            0.008878
                  36,            0.069354,            0.090039,           0.0020965,              0.5769,             0.45503,             0.42258,             0.11015,            0.068187,            0.069431,            0.001528,            0.008845,            0.008845,            0.008845
                  37,            0.070115,            0.087876,           0.0017794,             0.55157,             0.45715,             0.42594,             0.10997,            0.068044,            0.070022,           0.0010667,            0.008812,            0.008812,            0.008812
                  38,            0.071069,            0.096926,           0.0016872,             0.39174,             0.48796,             0.36061,            0.091343,            0.073937,            0.070496,           0.0012542,            0.008779,            0.008779,            0.008779
                  39,            0.069443,             0.09895,           0.0019308,             0.50349,             0.39472,             0.34472,            0.090171,            0.070589,            0.068101,           0.0013306,            0.008746,            0.008746,            0.008746
                  40,            0.074584,             0.09142,           0.0020117,             0.36606,             0.43409,             0.22699,            0.054581,            0.066558,            0.068447,           0.0012604,            0.008713,            0.008713,            0.008713
                  41,            0.074902,             0.11668,           0.0025177,             0.53617,             0.40995,             0.37965,            0.092787,            0.068819,            0.069114,           0.0014618,             0.00868,             0.00868,             0.00868
                  42,            0.069061,            0.090879,           0.0022414,             0.57795,             0.51088,             0.47734,             0.13118,            0.063684,            0.068567,           0.0012951,            0.008647,            0.008647,            0.008647
                  43,            0.069567,            0.091976,           0.0027361,             0.53446,             0.54107,              0.5017,             0.13895,            0.062625,            0.066962,           0.0012082,            0.008614,            0.008614,            0.008614
                  44,            0.068866,             0.10372,           0.0020373,             0.44664,             0.44071,             0.36283,            0.093669,            0.064959,            0.063607,           0.0013006,            0.008581,            0.008581,            0.008581
                  45,            0.067415,            0.093283,           0.0023384,              0.4214,             0.52422,             0.39229,             0.11264,            0.063775,            0.065763,           0.0012127,            0.008548,            0.008548,            0.008548
                  46,            0.072071,            0.094666,           0.0019012,             0.41397,             0.44122,             0.31733,            0.079108,            0.069421,            0.063158,            0.001073,            0.008515,            0.008515,            0.008515
                  47,            0.071255,            0.091645,           0.0017761,             0.53528,             0.55128,             0.50362,             0.13844,            0.061378,            0.065448,           0.0010524,            0.008482,            0.008482,            0.008482
                  48,            0.069441,            0.093289,            0.001488,             0.58431,             0.54442,             0.53451,             0.15697,             0.06164,            0.064755,           0.0009777,            0.008449,            0.008449,            0.008449
                  49,            0.070393,             0.10222,           0.0016984,             0.26623,             0.38949,             0.21141,            0.045808,            0.069242,            0.059653,          0.00093846,            0.008416,            0.008416,            0.008416
                  50,            0.071178,            0.095638,           0.0016339,             0.52959,             0.54061,             0.48951,             0.12173,            0.063395,            0.064433,           0.0011016,            0.008383,            0.008383,            0.008383
                  51,            0.070987,            0.090693,           0.0016357,             0.62848,              0.5341,             0.52611,             0.14497,            0.064268,            0.064415,           0.0012646,             0.00835,             0.00835,             0.00835
                  52,            0.063184,              0.1039,           0.0017651,             0.64119,             0.48563,              0.4949,             0.13384,            0.063468,            0.063771,           0.0010533,            0.008317,            0.008317,            0.008317
                  53,            0.066213,              0.1042,           0.0014388,             0.55139,             0.57103,             0.53297,             0.14661,            0.060566,            0.064063,           0.0008976,            0.008284,            0.008284,            0.008284
                  54,            0.063697,            0.086847,            0.001584,             0.56244,             0.57435,             0.55827,             0.16779,            0.056905,            0.063204,          0.00097954,            0.008251,            0.008251,            0.008251
                  55,            0.065039,              0.1012,           0.0015143,             0.66507,             0.54905,             0.56844,             0.17491,            0.057809,            0.067623,          0.00075166,            0.008218,            0.008218,            0.008218
                  56,            0.063211,            0.086546,           0.0017819,             0.63122,             0.55565,             0.53706,             0.15961,            0.057424,            0.069791,           0.0009166,            0.008185,            0.008185,            0.008185
                  57,            0.065896,            0.091321,           0.0014928,             0.71804,             0.43835,             0.42628,             0.11302,            0.060158,            0.071385,          0.00074688,            0.008152,            0.008152,            0.008152
                  58,            0.064217,            0.099265,           0.0020596,             0.61726,             0.48131,             0.47868,             0.14238,            0.062655,            0.065688,          0.00084941,            0.008119,            0.008119,            0.008119
                  59,            0.063641,            0.076776,           0.0013439,             0.68047,             0.51308,             0.52006,             0.14328,            0.064916,              0.0766,          0.00081106,            0.008086,            0.008086,            0.008086
